NASDAQ,"AAON Inc.",AAON
NASDAQ,"Apple Computer Inc.",AAPL
NASDAQ,"Abaxis Inc.",ABAX
NASDAQ,"Abraxis Bioscience, Inc.",ABBI
NASDAQ,"Ameris Bancorp",ABCB
NASDAQ,"Advisory Board Co.",ABCO
NASDAQ,"Anchor Bancorp Wisconsin Inc.",ABCW
NASDAQ,"Arkansas Best Corp.",ABFS
NASDAQ,"American Physicians Capital Inc.",ACAP
NASDAQ,"American Capital Strategies, Ltd.",ACAS
NASDAQ,"Arctic Cat Inc.",ACAT
NASDAQ,"Aceto Corp.",ACET
NASDAQ,"Arch Capital Group Ltd.",ACGL
NASDAQ,"Acergy SA",ACGY
NASDAQ,"AC Moore Arts & Crafts Inc.",ACMR
NASDAQ,"Acxiom Corp.",ACXM
NASDAQ,"Adobe Systems Inc.",ADBE
NASDAQ,"ADC Telecommunications Inc.",ADCT
NASDAQ,"American Dental Partners Inc.",ADPI
NASDAQ,"Autodesk Inc.",ADSK
NASDAQ,"ADTRAN Inc.",ADTN
NASDAQ,"ADVANTA A",ADVNA
NASDAQ,"Advanta Corp.",ADVNB
NASDAQ,"Advent Software Inc.",ADVS
NASDAQ,"Affymetrix Inc.",AFFX
NASDAQ,"Argonaut Group Inc.",AGII
NASDAQ,"Agilysys Inc.",AGYS
NASDAQ,"Allied Healthcare International Inc.",AHCI
NASDAQ,"Air Methods Corp.",AIRM
NASDAQ,"Akamai Technologies Inc.",AKAM
NASDAQ,"Alabama National Bancorp.",ALAB
NASDAQ,"Alico Inc.",ALCO
NASDAQ,"Alexander & Baldwin Inc.",ALEX
NASDAQ,"Alfa Corp.",ALFA
NASDAQ,"Alkermes Inc.",ALKS
NASDAQ,"Analogic Corp.",ALOG
NASDAQ,"Applied Materials Inc.",AMAT
NASDAQ,"Applied Micro Circuits Corp.",AMCC
NASDAQ,"Amedisys Inc.",AMED
NASDAQ,"AMCORE Financial Inc.",AMFI
NASDAQ,"Amgen Inc.",AMGN
NASDAQ,"Amkor Technology Inc.",AMKR
NASDAQ,"Amylin Pharmaceuticals Inc.",AMLN
NASDAQ,"American Medical Systems Holdings Inc.",AMMD
NASDAQ,"American National Bankshares Inc.",AMNB
NASDAQ,"AMERICA MOVIL A AD",AMOV
NASDAQ,"American River Bankshares",AMRB
NASDAQ,"AmSurg Corp.",AMSG
NASDAQ,"American Software Inc.",AMSWA
NASDAQ,"TD AMERITRADE Holding Corporation",AMTD
NASDAQ,"American Woodmark Corp.",AMWD
NASDAQ,"Amazon.com Inc.",AMZN
NASDAQ,"American National Insurance Co.",ANAT
NASDAQ,"Andersons Inc.",ANDE
NASDAQ,"Andrew Corp.",ANDW
NASDAQ,"Anika Therapeutics Inc.",ANIK
NASDAQ,"Angiotech Pharmaceuticals Inc.",ANPI
NASDAQ,"Ansys, Inc.",ANSS
NASDAQ,"Ansoft Corp.",ANST
NASDAQ,"American Power Conversion Corp.",APCC
NASDAQ,"Applix Inc.",APLX
NASDAQ,"Apogee Enterprises Inc.",APOG
NASDAQ,"Apollo Group Inc.",APOL
